"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance"
"232122_s_at",-3.97305022031962,0.335281600258917,-22.9665344460978,5.89595003601582e-52,3.22361068219165e-47,107.726190089476,"Down"
"238222_at",-4.55602853072023,0.454258895044461,-22.7752432903925,1.61620453064831e-51,4.41829913565982e-47,106.728489567073,"Down"
"206702_at",-2.97815227018067,0.246719802508218,-22.207236258025,3.3163000294721e-50,6.0439568037129e-46,103.738243054775,"Down"
"209614_at",-3.11466447713345,0.214576638425214,-22.1029948180019,5.79933738554025e-50,6.81139564485959e-46,103.18495193334,"Down"
"210081_at",-5.02603859926826,0.482337526725468,-22.0571377708834,7.41898094133722e-50,6.81139564485959e-46,102.941108352457,"Down"
"216333_x_at",-2.68162016486193,0.155530845302926,-22.0557433979887,7.47478260066896e-50,6.81139564485959e-46,102.93368955983,"Down"
"230132_at",-2.17958746614201,0.133970939542406,-21.8732334571646,1.99745032760005e-49,1.56015138087904e-45,101.960473967666,"Down"
"214135_at",-4.79804803582338,0.58413834624474,-21.7328569460605,4.2662743104546e-49,2.91573184905131e-45,101.209003012338,"Down"
"226056_at",-1.82205974439153,0.121117802856221,-21.626296583489,7.60239360920346e-49,4.6184541175911e-45,100.636858468293,"Down"
"227178_at",-2.13980890792157,0.143541849230071,-21.5496477072358,1.15294617198852e-48,5.73540283708832e-45,100.22440758615,"Down"
"228885_at",-4.5667650577268,0.460254626483235,-21.5494957863577,1.15389906187419e-48,5.73540283708832e-45,100.2235893396,"Down"
"206093_x_at",-2.60330338483835,0.143925173988577,-21.4987438106243,1.52089290089321e-48,6.92956827969467e-45,99.950072061033,"Down"
"213451_x_at",-2.78660053645735,0.171898766980153,-21.3664966201055,3.12804313030396e-48,1.31558275499515e-44,99.235789821487,"Down"
"236065_at",-3.00067177061079,0.242771367642423,-21.2805465397536,5.00409111201813e-48,1.9542762967828e-44,98.7703523333611,"Down"
"235670_at",-2.86455261855566,0.199983714176652,-21.2353174055286,6.41011122438817e-48,2.2112548060753e-44,98.5250441057912,"Down"
"227417_at",-2.14582731491044,0.16274773315323,-21.2335921119489,6.47097885637032e-48,2.2112548060753e-44,98.5156814402769,"Down"
"228504_at",-3.94375437470511,0.387319227217579,-21.2149486607078,7.16691971104594e-48,2.3050078541261e-44,98.4144843493196,"Down"
"213317_at",-4.61638460086227,0.48234370012689,-21.1932039020225,8.07418725593327e-48,2.45253437898973e-44,98.2963965994073,"Down"
"236154_at",-2.12317616221762,0.138266436002342,-21.1278415255281,1.15573618581086e-47,3.32578294522152e-44,97.9410702281883,"Down"
"227874_at",-3.49792465903415,0.275521244558678,-21.0729459956472,1.5626325276231e-47,4.27184667238964e-44,97.6422183133706,"Down"
"226397_s_at",-2.05496906762447,0.114325701759492,-20.9076154488256,3.88495220719597e-47,9.53602306523539e-44,96.7398088299179,"Down"
"204931_at",-3.51834037867906,0.321875990409599,-20.904525917343,3.95176562457383e-47,9.53602306523539e-44,96.7229119669772,"Down"
"226694_at",-1.78888866738023,0.118435086755712,-20.9018080111398,4.01149575675197e-47,9.53602306523539e-44,96.7080465316124,"Down"
"223229_at",3.08661779383057,-0.182898228430884,20.7643265978627,8.57815611481506e-47,1.95421118990631e-43,95.9548582654393,"Up"
"206742_at",-4.09046219970548,0.360445094158983,-20.7154531815742,1.12456962111413e-46,2.4594337613766e-43,95.6865202865093,"Down"
"235649_at",-3.92390411215005,0.355897670140574,-20.6870135882015,1.31666066038849e-46,2.76878544641311e-43,95.5302321409896,"Down"
"229127_at",-2.52866415903046,0.167859158593771,-20.6675632230203,1.46669295013733e-46,2.9700532240281e-43,95.4232838811132,"Down"
"203812_at",-1.93650204947864,0.0990517858062952,-20.6186121130555,1.92476465702713e-46,3.75844670081994e-43,95.1539098839368,"Down"
"204719_at",-3.89228231385483,0.35555221206476,-20.5947445198528,2.19775019647513e-46,4.14351696525095e-43,95.0224567607855,"Down"
"207547_s_at",-3.05804261999329,0.195412807497699,-20.4620694411298,4.59976778626652e-46,8.27866584641472e-43,94.2904020477136,"Down"
"215454_x_at",-4.02981436200613,0.429044708027983,-20.458436180734,4.69389375836957e-46,8.27866584641472e-43,94.2703232070374,"Down"
"226992_at",-2.99008140503874,0.227056632822567,-20.4393282133917,5.22170023806456e-46,8.92176439113062e-43,94.1646971209565,"Down"
"206069_s_at",-2.99165531859707,0.185463019135437,-20.4169372277721,5.91653292195972e-46,9.80261931842871e-43,94.0408634085309,"Down"
"226028_at",-2.59322058194295,0.173861928277655,-20.3066790761883,1.09554735310298e-45,1.69652331178658e-42,93.4301418455285,"Down"
"217046_s_at",-3.41515162710956,0.244164506168434,-20.3043385477585,1.10998753214032e-45,1.69652331178658e-42,93.4171607494846,"Down"
"204273_at",-3.9117202601242,0.347176148224688,-20.3032045588061,1.11705238636154e-45,1.69652331178658e-42,93.4108711400814,"Down"
"215918_s_at",-2.56316920710399,0.129480229060939,-20.2415259461035,1.57779172036843e-45,2.33150708949038e-42,93.0685261648723,"Down"
"220003_at",-2.32978084077836,0.11557414960503,-20.1669520408377,2.39694461538003e-45,3.44876175910272e-42,92.6539568090552,"Down"
"230670_at",-2.53851016459753,0.11911240707343,-20.1479459629235,2.66680616121564e-45,3.73865709908886e-42,92.5481851095952,"Down"
"219866_at",-3.55339541399302,0.301666090231386,-20.1325660697676,2.90736305782564e-45,3.95463695667245e-42,92.4625599212866,"Down"
"200911_s_at",-1.52239284101737,0.0994957672678747,-20.1290394337811,2.96552565566658e-45,3.95463695667245e-42,92.442921663257,"Down"
"204641_at",3.2674251240304,-0.181749320948143,20.0756904780455,4.00236377663564e-45,5.2102199877989e-42,92.1456516519802,"Up"
"226627_at",-1.93716946663621,0.104997691687459,-20.0508239733302,4.60324233611181e-45,5.85307615643984e-42,92.0069669994691,"Down"
"212975_at",-1.58904063491722,0.0925769148906969,-19.9778618899397,6.94223047910091e-45,8.62651026011005e-42,91.5995906307421,"Down"
"243818_at",-2.85758364289679,0.235762149919872,-19.9168210463204,9.79492916067172e-45,1.19008389302161e-41,91.2582548347998,"Down"
"213103_at",-1.80554407304393,0.093213819720332,-19.8695989507122,1.27878271365455e-44,1.51994445367527e-41,90.9938675439057,"Down"
"209904_at",-3.8943884433889,0.294932339968113,-19.8395095331427,1.51580475298454e-44,1.76333244403042e-41,90.8252550828177,"Down"
"205003_at",-1.79324571812505,0.105337403633958,-19.8205272104704,1.68754556700628e-44,1.92221987241809e-41,90.7188244970998,"Down"
"201540_at",-3.07171668304766,0.192090401952868,-19.8037447530941,1.85559013248188e-44,2.07049776517239e-41,90.6246901127191,"Down"
"224861_at",-1.49985009459381,0.0830020134970003,-19.788475495057,2.0230405816179e-44,2.21219487599918e-41,90.5390123836945,"Down"
"208609_s_at",-2.18907927118418,0.105451062695225,-19.7610476738606,2.36285501035792e-44,2.53311956257488e-41,90.3850372274542,"Down"
"206167_s_at",-2.72424329864707,0.169063280947691,-19.7512972336187,2.49700105397454e-44,2.59583989576139e-41,90.3302769440411,"Down"
"209469_at",-3.90174616354675,0.257481171496055,-19.7499368816842,2.51631485094382e-44,2.59583989576139e-41,90.3226359979439,"Down"
"231947_at",-2.02511973732036,0.148145701575156,-19.6348197068475,4.83388761844202e-44,4.89149741880668e-41,89.67518749004,"Down"
"205200_at",-3.73011308842276,0.356650034684254,-19.6316896732851,4.92057353515075e-44,4.89149741880668e-41,89.6575599917512,"Down"
"218355_at",3.10103368711588,-0.173667418231221,19.6249310109016,5.11311422918283e-44,4.99213429429591e-41,89.6194928234907,"Up"
"203228_at",2.05860924030152,-0.141231224637821,19.6133727829145,5.4600767531176e-44,5.23736309608254e-41,89.5543794493042,"Up"
"204677_at",-2.52045723938815,0.202652172941034,-19.5928289760247,6.1361567861524e-44,5.78438572901521e-41,89.4386041340236,"Down"
"201061_s_at",-1.38689560126431,0.115237472871754,-19.5886204210786,6.28470728998081e-44,5.82400628948645e-41,89.414880110941,"Down"
"228540_at",-1.61011020327289,0.0840823820410092,-19.5679840356242,7.06705885678787e-44,6.43985738324795e-41,89.298518527126,"Down"
"220677_s_at",-3.02966670332778,0.209534619229701,-19.530068720302,8.76830493896463e-44,7.85913233668674e-41,89.0845870337553,"Down"
"224061_at",-3.26191302642584,0.306576120963429,-19.5076528843887,9.96172310732543e-44,8.78479372408093e-41,88.9580238845168,"Down"
"206209_s_at",-4.10638334351858,0.288902848739604,-19.4707402649883,1.22928467817589e-43,1.06684348855979e-40,88.7494719724722,"Down"
"204271_s_at",-2.95930122678698,0.228781306786982,-19.4635037336941,1.28104225518143e-43,1.09439039534445e-40,88.7085663455079,"Down"
"232578_at",-5.01996722066721,0.496373429892546,-19.4577956121406,1.32340717534031e-43,1.1131890355651e-40,88.6762956510113,"Down"
"206701_x_at",-3.12765977715235,0.223943669026216,-19.4318474945436,1.53443360074838e-43,1.27113874425633e-40,88.5295471471465,"Down"
"209470_s_at",-4.31196546016175,0.287162491579512,-19.408205934161,1.75599149921967e-43,1.43296768984829e-40,88.395769679128,"Down"
"209074_s_at",-4.04565144440787,0.377893180961086,-19.4010605913698,1.82907530068533e-43,1.47065723624957e-40,88.3553234404796,"Down"
"219597_s_at",-2.84257024927715,0.231173420282216,-19.3856175324603,1.99763126559258e-43,1.58290564414891e-40,88.2678860717927,"Down"
"236600_at",-1.46041242392816,0.0867912008775066,-19.3554255809191,2.37355201923498e-43,1.85391366645246e-40,88.0968552811962,"Down"
"206481_s_at",-2.4503088823917,0.197013123508095,-19.3321096276326,2.71182290366059e-43,2.08829460926257e-40,87.9646973642139,"Down"
