"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","113/2007","434/18860",0.26036866359447,2.44671300218819,10.5221895757097,5.14014229742258e-20,3.10824404725143e-16,2.11124581521504e-16,"4751/24137/7153/55355/22974/9133/1063/55143/29128/991/11065/891/11004/83540/4085/9055/6790/332/9787/6491/701/9928/259266/5347/9212/4288/64151/7272/10615/146909/51203/983/11130/56992/1894/1457/3833/699/23397/3832/990/9319/1062/9232/11339/29127/10096/26112/8850/116028/57519/10403/9735/157313/4605/54892/9700/91687/83990/1843/79682/84057/8766/55839/898/9493/81620/6732/57405/7283/57520/86/9918/5728/64105/2491/81610/7329/54908/9639/79019/9184/7273/147841/54069/55055/25879/672/387103/55706/9134/203068/11200/90417/1104/348235/64946/79172/3796/54820/23122/26271/10460/10592/79677/81027/2177/81930/84722/29901/10051/84072/23255",113
"GO:0140014","mitotic nuclear division","84/2007","281/18860",0.298932384341637,2.80910053247796,10.5438471173058,3.75799610943702e-19,1.13623012368828e-15,7.71773727317013e-16,"4751/24137/28984/22974/1063/55143/29128/991/11065/891/11004/83540/4085/9055/54443/6790/332/9787/701/9928/858/5347/9212/4288/64151/7272/10615/146909/51203/983/11130/56992/3833/699/23397/3832/9319/1062/1111/29127/8850/10403/9735/157313/4605/54892/9700/995/1843/27338/8766/9493/81620/57405/7283/9918/64105/2491/7329/54908/9639/9184/79866/7273/147841/4774/55055/11200/90417/1104/348235/3796/54820/23122/26271/10592/1906/5902/81930/84722/10051/1028/3553/7039",84
"GO:0000070","mitotic sister chromatid segregation","66/2007","192/18860",0.34375,3.23025660189337,10.7189182320477,8.35099871779295e-19,1.68328297488313e-15,1.14335428059046e-15,"4751/24137/22974/1063/55143/29128/991/11065/891/11004/83540/4085/9055/332/9787/701/9928/5347/9212/64151/7272/10615/146909/51203/983/11130/56992/3833/699/23397/3832/9319/1062/29127/8850/10403/9735/4605/54892/9700/1843/8766/9493/81620/57405/7283/9918/64105/2491/54908/9639/9184/7273/147841/55055/11200/90417/1104/348235/3796/23122/26271/10592/81930/84722/10051",66
"GO:0030198","extracellular matrix organization","91/2007","331/18860",0.274924471299094,2.58349552999547,10.0299612252863,5.46172170445085e-18,8.17323968444596e-15,5.55159692038821e-15,"11095/857/28984/8516/57188/64116/7049/2294/8434/25890/8837/131873/1301/9806/858/4239/59277/7075/59350/4321/26585/2022/23213/79625/10516/255743/5468/79148/7078/2264/2621/55612/4629/10266/4320/2824/3913/54507/1285/1277/5768/650/1515/10549/5352/8425/84830/170689/1286/2192/256076/1278/4327/9510/3908/1842/1290/23122/1281/56999/4312/2191/10631/4318/83872/81792/2295/5268/4921/1289/649/7177/1303/6624/3569/4017/3037/8313/4015/2006/4314/4322/1805/5806/9509/4319/3036/7143/1311/6662/6423",91
"GO:0043062","extracellular structure organization","91/2007","332/18860",0.274096385542169,2.57571391695331,9.99600691121454,6.75809466218452e-18,8.17323968444596e-15,5.55159692038821e-15,"11095/857/28984/8516/57188/64116/7049/2294/8434/25890/8837/131873/1301/9806/858/4239/59277/7075/59350/4321/26585/2022/23213/79625/10516/255743/5468/79148/7078/2264/2621/55612/4629/10266/4320/2824/3913/54507/1285/1277/5768/650/1515/10549/5352/8425/84830/170689/1286/2192/256076/1278/4327/9510/3908/1842/1290/23122/1281/56999/4312/2191/10631/4318/83872/81792/2295/5268/4921/1289/649/7177/1303/6624/3569/4017/3037/8313/4015/2006/4314/4322/1805/5806/9509/4319/3036/7143/1311/6662/6423",91
"GO:0045229","external encapsulating structure organization","91/2007","333/18860",0.273273273273273,2.56797904032583,9.96217634569895,8.35267373895528e-18,8.4181030165771e-15,5.71791805779009e-15,"11095/857/28984/8516/57188/64116/7049/2294/8434/25890/8837/131873/1301/9806/858/4239/59277/7075/59350/4321/26585/2022/23213/79625/10516/255743/5468/79148/7078/2264/2621/55612/4629/10266/4320/2824/3913/54507/1285/1277/5768/650/1515/10549/5352/8425/84830/170689/1286/2192/256076/1278/4327/9510/3908/1842/1290/23122/1281/56999/4312/2191/10631/4318/83872/81792/2295/5268/4921/1289/649/7177/1303/6624/3569/4017/3037/8313/4015/2006/4314/4322/1805/5806/9509/4319/3036/7143/1311/6662/6423",91
"GO:0000819","sister chromatid segregation","72/2007","233/18860",0.309012875536481,2.90382801824516,10.0908702804018,1.80140676705085e-17,1.55615810290807e-14,1.05700589549359e-14,"4751/24137/7153/22974/1063/55143/29128/991/11065/891/11004/83540/4085/9055/332/9787/701/9928/5347/9212/64151/7272/10615/146909/51203/983/11130/56992/3833/699/23397/3832/990/9319/1062/29127/8850/116028/10403/9735/4605/54892/9700/1843/8766/9493/81620/57405/7283/57520/86/9918/64105/2491/54908/9639/9184/7273/147841/55055/11200/90417/1104/348235/3796/23122/26271/10460/10592/81930/84722/10051",72
"GO:0098813","nuclear chromosome segregation","88/2007","323/18860",0.272445820433437,2.56020337487524,9.76016490159119,3.59886755195455e-17,2.72029401083365e-14,1.84773436680614e-14,"4751/24137/7153/22974/9133/1063/55143/29128/991/11065/891/11004/83540/4085/9055/6790/332/9787/701/9928/259266/5347/9212/64151/7272/10615/146909/51203/983/11130/56992/1894/3833/699/23397/3832/990/9319/1062/9232/29127/10096/8850/116028/10403/9735/4605/54892/9700/83990/1843/84057/8766/898/9493/81620/57405/7283/57520/86/9918/5728/64105/2491/81610/54908/9639/9184/7273/147841/55055/25879/55706/9134/11200/90417/1104/348235/3796/23122/26271/10460/10592/2177/81930/84722/10051/84072",88
"GO:0072001","renal system development","87/2007","334/18860",0.260479041916168,2.44775023943145,9.2123505421059,1.05213090808965e-15,7.06915066802015e-13,4.80165474077875e-13,"7010/6943/1910/8516/1063/2294/120892/847/8837/284/5175/9353/25959/7466/26585/185/93649/2066/23213/2247/3070/358/2146/3248/255743/8879/51196/3570/5420/6092/1636/947/1512/4091/64321/3913/4036/55366/4774/1285/55083/650/100133941/7020/6659/1286/5950/4092/51804/9510/1909/4311/4208/2674/9863/3764/153572/1906/4318/3217/6495/6385/186/5017/2719/79192/130497/8829/7704/1028/80144/3037/2297/9955/25976/9245/5800/10736/341640/1739/7422/2263/384/6772/6664/793/6662",87
"GO:0000280","nuclear division","106/2007","453/18860",0.233995584988962,2.19888227847127,8.91309512561273,2.41166399291364e-15,1.45833321651488e-12,9.90559252668318e-13,"4751/24137/28984/7153/22974/9133/1063/55143/29128/991/11065/891/11004/83540/4085/9055/54443/6790/332/9787/701/9928/259266/858/5347/9212/4288/64151/7272/10615/146909/51203/983/11130/56992/5888/3833/699/23397/3832/9319/1062/9232/1111/29127/10096/8850/10635/6196/10403/9735/157313/4605/54892/9700/83990/995/1843/8438/27338/84057/8766/898/9493/81620/57405/7283/9918/5728/64105/2491/7329/63979/54908/25788/9639/9184/79866/7273/147841/4774/55055/25879/55706/9134/1164/11200/90417/1104/348235/3796/54820/23122/26271/80010/10592/1906/5902/2177/81930/84722/10051/1028/84072/3553/7039",106
