"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","34/1157","88/9378",0.386363636363636,3.13164924962678,7.53677478961194,2.75389895052692e-10,9.50095137931788e-08,7.45002137142546e-08,"7450/2/1675/1361/11326/5648/5627/2161/966/730/7056/7035/728/722/1191/2157/717/710/1604/3684/5265/5270/3075/718/727/713/732/729/712/5328/2162/2244/2266/3053",34
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","62/1157","233/9378",0.266094420600858,2.15681372203531,6.70788873905445,1.71712391437938e-09,2.96203875230443e-07,2.32263603155526e-07,"6711/7134/2273/8516/3672/131873/1301/23345/1832/825/1674/477/10529/7111/171024/6445/25802/4628/23500/64236/1730/4629/7273/1285/1277/1829/1756/1286/2192/256076/3680/1278/7058/1634/4000/3908/1290/1281/84823/22801/11155/287/10398/1289/6385/6382/6383/3728/4001/27295/2026/72/6444/7057/2274/7138/2006/3691/1824/5318/2201/1311",62
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","47/1157","158/9378",0.29746835443038,2.41111342078488,6.71059947730135,3.57971147321174e-09,4.1166681941935e-07,3.22802052145761e-07,"9133/991/4173/891/4085/701/5347/9212/113130/7272/4171/983/890/699/990/9319/9232/8318/1111/10403/896/9700/995/23594/898/81620/4176/4998/1019/7029/90381/9184/993/5111/10926/4175/9134/1029/1663/4616/5591/11200/6502/26271/1030/1028/8317",47
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","30/1157","89/9378",0.337078651685393,2.73217251124081,6.15939388502525,1.17832528036769e-07,7.71426625179611e-06,6.049020371355e-06,"8516/3672/948/7450/131873/6696/961/3161/255743/3913/1285/1277/1286/256076/3680/1278/7058/3908/3910/10319/22801/6385/6382/80144/9900/7057/341640/3691/7143/1311",30
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","43/1157","154/9378",0.279220779220779,2.26320870141095,5.9294189256896,1.25913158749382e-07,7.71426625179611e-06,6.049020371355e-06,"8516/3672/7450/131873/6696/896/9459/55679/3384/255743/10979/3082/55612/3913/1285/1277/5295/3791/5747/1286/256076/3680/1278/7058/2317/3908/3684/3910/10319/22801/3383/3386/80144/718/7057/341640/5228/3691/7422/2244/7143/2266/1311",43
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","21/1157","50/9378",0.42,3.40428694900605,6.3945994477515,1.3416115220515e-07,7.71426625179611e-06,6.049020371355e-06,"948/5175/3043/6403/3082/7099/2995/2532/7058/7097/6347/3383/6382/6383/3569/6401/1440/7057/3553/3820/1311",21
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","31/1157","100/9378",0.31,2.51268798617113,5.7050372841912,6.07733620837164e-07,2.99525855984031e-05,2.34868482037821e-05,"3672/948/3590/966/3570/947/3563/3554/1441/100133941/1604/945/3575/3684/4311/1435/4254/3108/3115/911/290/3569/3113/3111/1440/3122/3553/951/3574/3119/3117",31
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","42/1157","160/9378",0.2625,2.12767934312878,5.39713868556717,1.09315915319784e-06,4.71424884816568e-05,3.6966039785769e-05,"51208/58494/1003/8516/90952/5175/5797/3133/6403/3384/22854/947/257194/7122/6404/3680/3684/23114/23705/3108/3383/100506658/6385/1001/3115/6382/6383/3113/6401/3111/5789/26047/3122/5788/6614/9071/29126/79679/5010/1000/3119/3117",42
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","29/1157","95/9378",0.305263157894737,2.47429377246054,5.41798716459661,1.98149432128779e-06,7.59572823160319e-05,5.95607064995277e-05,"7010/284/8741/7099/23545/2920/2353/54/2921/7097/4312/1435/6347/3108/3383/3115/6387/3569/3113/3111/3725/3122/3553/4314/7422/3119/6374/2919/3117",29
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","25/1157","78/9378",0.320512820512821,2.59789907585932,5.31607973246306,3.76667870978271e-06,0.000129950415487504,0.000101898571412017,"7099/4688/1915/2353/5579/3684/65108/7097/3108/4689/3115/4792/3113/3111/3725/2215/3122/718/3553/1536/5743/1917/6772/3119/3117",25
